guid,localTime,created,updated,status,attachedUser,path,apiTarget,actionTarget,success,resultDescription
dc057907-43d8-44ec-895b-c416ce9bbbff,2021-05-26 11-30-52,637576254525854708,637576254525854708,dev,272T0ymkF0KixH3QmaXMwQ,dev,OnRequestSendSMS.aspx,AWS request send sms,true,default
5a139514-2d88-49ce-9d81-f6fe8ed908ec,2021-05-26 11-31-23,637576254839708133,637576254839708133,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByMobile.aspx,Login Successfully,True,default
4e1db2fc-5666-4e77-9743-a8da84675bf5,2021-05-26 12-42-36,637576297561876333,637576297561876333,dev,272T0ymkF0KixH3QmaXMwQ,dev,OnRequestSendSMS.aspx,AWS request send sms,true,default
ad9bf713-2474-4637-a61e-5a0814209353,2021-05-26 12-42-36,637576297562032821,637576297562032821,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnUserRequestAuthCode.aspx,user request authorize code,true,default
8c753426-0801-4e6f-adb1-75f9e8673101,2021-05-26 12-48-43,637576301237567406,637576301237567406,dev,272T0ymkF0KixH3QmaXMwQ,dev,OnRequestSendSMS.aspx,AWS request send sms,true,default
8038d4cb-bd07-4bd1-b62d-553fc3e08fb0,2021-05-26 12-48-43,637576301237567406,637576301237567406,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnUserRequestAuthCode.aspx,user request authorize code,true,default
f744d02a-501e-49d1-8de3-ccd8a0fafacd,2021-05-26 12-48-51,637576301315536914,637576301315536914,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByMobile.aspx,Login Successfully,True,default
2774e4f6-5d98-43d6-a0ba-cc2b8789c9ca,2021-05-26 13-00-37,637576308372801939,637576308372801939,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
f168067e-3cb2-4257-b685-030750b5fcb5,2021-05-26 13-12-24,637576315444022251,637576315444022251,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
b266c891-5868-42df-92b3-db7b256ca13a,2021-05-26 13-16-48,637576318087736927,637576318087736927,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
2b0d3891-12b1-4f6d-8464-b9da02be035c,2021-05-26 13-17-13,637576318339528373,637576318339528373,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
36d2ed11-5572-4c53-a833-901e7dbd46ca,2021-05-26 13-18-04,637576318844160870,637576318844160870,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
8e7a6028-037e-431e-a5c4-c22092437924,2021-05-26 13-19-19,637576319599878733,637576319599878733,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
f4d7fcf6-5c5d-4228-9a34-eb475d6b186a,2021-05-26 13-19-27,637576319670238137,637576319670238137,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
5f1504c6-ed60-402e-a3f5-77ee61d52cc7,2021-05-26 13-20-46,637576320461174810,637576320461174810,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
447ac531-e133-4a98-bbf6-edd99ed4ec83,2021-05-26 13-20-55,637576320551852709,637576320551852709,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
be3ebded-26ad-4621-8d66-66374a93e5a3,2021-05-26 13-21-50,637576321103877838,637576321103877838,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
9739a72d-5522-4a20-a356-9b9e3c550750,2021-05-26 13-22-48,637576321689421566,637576321689421566,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
8303b510-ae8e-4c8b-a7d5-0a67dd4c60b8,2021-05-26 13-23-00,637576321808511250,637576321808511250,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
